time	V(vc_vo)
5.527323355564451e-002	1.921851e+001
5.529541578373903e-002	1.938156e+001
5.531674003414561e-002	1.946801e+001
5.533880257511625e-002	1.953609e+001
5.537529004946307e-002	1.961478e+001
5.543782122149776e-002	1.966726e+001
5.549862076613116e-002	1.957402e+001
5.557862076613118e-002	1.919346e+001
5.565862076613121e-002	1.853396e+001
5.573862076613123e-002	1.759898e+001
5.581862076613126e-002	1.642553e+001
5.589862076613128e-002	1.506213e+001
5.597862076613130e-002	1.356790e+001
5.605862076613133e-002	1.201203e+001
5.613862076613135e-002	1.047221e+001
5.621862076613138e-002	9.032241e+000
5.629862076613140e-002	7.778913e+000
5.637862076613143e-002	6.797971e+000
5.645862076613145e-002	6.169478e+000
5.653862076613148e-002	5.962862e+000
5.661862076613150e-002	6.232118e+000
5.669862076613152e-002	7.011479e+000
5.677862076613155e-002	8.311525e+000
5.685862076613157e-002	1.011514e+001
5.693862076613160e-002	1.237015e+001
5.701862076613162e-002	1.496097e+001
5.709862076613165e-002	1.756498e+001
5.714417337179240e-002	1.872035e+001
5.717103726864375e-002	1.911099e+001
5.719283830388999e-002	1.928248e+001
5.721270724584576e-002	1.939035e+001
5.723322006957204e-002	1.947302e+001
5.726026724508904e-002	1.955334e+001
5.730886569944144e-002	1.964980e+001
5.735641877031911e-002	1.966426e+001
5.743641877031913e-002	1.947541e+001
5.751641877031916e-002	1.901818e+001
5.759641877031918e-002	1.826916e+001
5.767641877031920e-002	1.725492e+001
5.775641877031923e-002	1.601629e+001
5.783641877031925e-002	1.460526e+001
5.791641877031928e-002	1.308422e+001
5.799641877031930e-002	1.152520e+001
5.807641877031933e-002	1.000806e+001
5.815641877031935e-002	8.617899e+000
5.823641877031938e-002	7.441614e+000
5.831641877031940e-002	6.563643e+000
5.839641877031943e-002	6.061200e+000
5.847641877031945e-002	5.999332e+000
5.855641877031947e-002	6.426246e+000
5.863641877031950e-002	7.369127e+000
5.871641877031952e-002	8.830316e+000
5.879641877031955e-002	1.078288e+001
5.887641877031957e-002	1.316058e+001
5.895641877031960e-002	1.578806e+001
5.903641877031962e-002	1.816028e+001
5.908794357190417e-002	1.912808e+001
5.911026237726658e-002	1.932165e+001
5.913194843731479e-002	1.942485e+001
5.915669275520913e-002	1.951122e+001
5.919256934590172e-002	1.959549e+001
5.926432252728686e-002	1.965804e+001
5.932986371327370e-002	1.955066e+001
5.940986371327373e-002	1.915036e+001
5.948986371327375e-002	1.846790e+001
5.956986371327377e-002	1.751245e+001
5.964986371327380e-002	1.632202e+001
5.972986371327382e-002	1.494606e+001
5.980986371327385e-002	1.344459e+001
5.988986371327387e-002	1.188751e+001
5.996986371327390e-002	1.035310e+001
6.004986371327392e-002	8.925545e+000
6.012986371327395e-002	7.691670e+000
6.020986371327397e-002	6.736923e+000
6.028986371327400e-002	6.140656e+000
6.036986371327402e-002	5.971195e+000
6.044986371327404e-002	6.281075e+000
6.052986371327407e-002	7.102734e+000
6.060986371327409e-002	8.444647e+000
6.068986371327412e-002	1.028721e+001
6.076986371327414e-002	1.257483e+001
6.084986371327417e-002	1.518158e+001
6.092986371327419e-002	1.770468e+001
6.098185336772266e-002	1.889926e+001
6.100542576709434e-002	1.919004e+001
6.102793944211143e-002	1.933520e+001
6.105860428855070e-002	1.947011e+001
6.108884623725841e-002	1.956369e+001
6.112826160975526e-002	1.963814e+001
6.119224781466404e-002	1.965865e+001
6.125359125141228e-002	1.952080e+001
6.133359125141230e-002	1.907695e+001
6.141359125141233e-002	1.835702e+001
6.149359125141235e-002	1.736876e+001
6.157359125141237e-002	1.615176e+001
6.165359125141240e-002	1.475687e+001
6.173359125141242e-002	1.324539e+001
6.181359125141245e-002	1.168837e+001
6.189359125141247e-002	1.016491e+001
6.197359125141250e-002	8.759617e+000
6.205359125141252e-002	7.559287e+000
6.213359125141255e-002	6.648709e+000
6.221359125141257e-002	6.105951e+000
6.229359125141259e-002	5.997418e+000
6.237359125141262e-002	6.373146e+000
6.245359125141264e-002	7.262570e+000
6.253359125141267e-002	8.670692e+000
6.261359125141269e-002	1.057381e+001
6.269359125141272e-002	1.291049e+001
6.277359125141274e-002	1.553262e+001
6.285359125141277e-002	1.806108e+001
6.289040679186608e-002	1.890864e+001
6.290432452115335e-002	1.908984e+001
6.291833211615938e-002	1.920535e+001
6.293547015816187e-002	1.931529e+001
6.295300874901305e-002	1.940349e+001
6.297160837441146e-002	1.947543e+001
6.300359960689178e-002	1.957008e+001
